no.,name,m,n,nonzeros,BR,optimal
1,RAT7A,3137,9408,275180,,2.0743714157E+06
2,NSCT1,22902,14981,667499,,-3.8922436000E+07
3,NSCT2,23004,14981,686396,,-3.7175082000E+07
4,ROUTING,20895,23923,210025,B,5.9416502767E+03
5,DBIR1,18805,27355,1067815,,-8.1067070000E+06
6,DBIR2,18907,27355,1148847,,-6.1169165000E+06
7,T0331-4L,665,46915,477897,B,2.9730033352E+04
8,NEMSEMM2,6944,42133,212793,B,6.2161463095E+05
9,SOUTHERN,18739,35421,148318,B,1.8189401971E+09
10,RADIO.PRIM,58867,8052,265975,B,1.0000000000E+00
11,WORLD.MOD2,35665,31728,220116,B,4.3648258595E+07
12,WORLD,35511,32734,220748,B,6.9133457165E+07
13,RADIO.DUAL,8053,66918,328891,B,-1.0000000000E+00
14,NEMSEMM1,3946,71413,1120871,B,5.1442135978E+05
15,NW14,74,123409,1028319,B,6.1844000000E+04
16,LPL1,39952,125000,462127,B,6.7197548415E+10
17,DBIC1,43201,183235,1217046,B,-9.7689730000E+06
